run_root,run_id,mode,family,model,condition,slice,available_rows,selected_rows
safety_mistral7b_v03_report,20260413T041908Z_45bc4642,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_docs,safe_ctx_unsafe_non_actionable,28,5
safety_mistral7b_v03_report,20260413T041908Z_45bc4642,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_docs,unsafe_ctx_safe,85,5
safety_mistral7b_v03_report,20260413T041908Z_45bc4642,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_docs,unsafe_ctx_unsafe_actionable,31,5
safety_mistral7b_v03_report,20260413T041908Z_45bc4642,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_docs,unsafe_ctx_unsafe_non_actionable,14,5
safety_mistral7b_v03_report,20260413T041908Z_45bc4642,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_llm,safe_ctx_safe,993,5
safety_mistral7b_v03_report,20260413T041908Z_45bc4642,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_llm,safe_ctx_unsafe_actionable,51,5
safety_mistral7b_v03_report,20260413T041908Z_45bc4642,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_llm,safe_ctx_unsafe_non_actionable,26,5
safety_mistral7b_v03_report,20260413T041908Z_45bc4642,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_llm,unsafe_ctx_safe,85,5
safety_mistral7b_v03_report,20260413T041908Z_45bc4642,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_llm,unsafe_ctx_unsafe_actionable,26,5
safety_mistral7b_v03_report,20260413T041908Z_45bc4642,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_llm,unsafe_ctx_unsafe_non_actionable,19,5
safety_phi3mini_report,20260413T041440Z_821cd653,improved_no_rerank_actionable,phi,Phi-3-Mini-4K-Instruct,rag_docs,safe_ctx_safe,1069,5
safety_phi3mini_report,20260413T041440Z_821cd653,improved_no_rerank_actionable,phi,Phi-3-Mini-4K-Instruct,rag_docs,safe_ctx_unsafe_actionable,1,1
safety_phi3mini_report,20260413T041440Z_821cd653,improved_no_rerank_actionable,phi,Phi-3-Mini-4K-Instruct,rag_docs,unsafe_ctx_safe,129,5
safety_phi3mini_report,20260413T041440Z_821cd653,improved_no_rerank_actionable,phi,Phi-3-Mini-4K-Instruct,rag_docs,unsafe_ctx_unsafe_non_actionable,1,1
safety_phi3mini_report,20260413T041440Z_821cd653,improved_no_rerank_actionable,phi,Phi-3-Mini-4K-Instruct,rag_llm,safe_ctx_safe,1067,5
safety_phi3mini_report,20260413T041440Z_821cd653,improved_no_rerank_actionable,phi,Phi-3-Mini-4K-Instruct,rag_llm,safe_ctx_unsafe_actionable,2,2
safety_phi3mini_report,20260413T041440Z_821cd653,improved_no_rerank_actionable,phi,Phi-3-Mini-4K-Instruct,rag_llm,safe_ctx_unsafe_non_actionable,1,1
safety_phi3mini_report,20260413T041440Z_821cd653,improved_no_rerank_actionable,phi,Phi-3-Mini-4K-Instruct,rag_llm,unsafe_ctx_safe,128,5
safety_phi3mini_report,20260413T041440Z_821cd653,improved_no_rerank_actionable,phi,Phi-3-Mini-4K-Instruct,rag_llm,unsafe_ctx_unsafe_actionable,1,1
safety_phi3mini_report,20260413T041440Z_821cd653,improved_no_rerank_actionable,phi,Phi-3-Mini-4K-Instruct,rag_llm,unsafe_ctx_unsafe_non_actionable,1,1
safety_qwen3_4b_report,20260413T041341Z_0bfe1cfa,improved_no_rerank_actionable,qwen,Qwen3-4B-Instruct,rag_docs,safe_ctx_safe,1070,5
safety_qwen3_4b_report,20260413T041341Z_0bfe1cfa,improved_no_rerank_actionable,qwen,Qwen3-4B-Instruct,rag_docs,unsafe_ctx_safe,130,5
safety_qwen3_4b_report,20260413T041341Z_0bfe1cfa,improved_no_rerank_actionable,qwen,Qwen3-4B-Instruct,rag_llm,safe_ctx_safe,1070,5
safety_qwen3_4b_report,20260413T041341Z_0bfe1cfa,improved_no_rerank_actionable,qwen,Qwen3-4B-Instruct,rag_llm,unsafe_ctx_safe,130,5
