run_root,run_id,mode,family,model,condition,slice,available_rows,selected_rows
safety_llama31_8b_report,20260415T014705Z_14a19534,improved_no_rerank_actionable,llama,Llama-3.1-8B-Instruct,rag_llm,safe_ctx_safe,1066,5
safety_llama31_8b_report,20260415T014705Z_14a19534,improved_no_rerank_actionable,llama,Llama-3.1-8B-Instruct,rag_llm,safe_ctx_unsafe_actionable,2,2
safety_llama31_8b_report,20260415T014705Z_14a19534,improved_no_rerank_actionable,llama,Llama-3.1-8B-Instruct,rag_llm,safe_ctx_unsafe_non_actionable,2,2
safety_llama31_8b_report,20260415T014705Z_14a19534,improved_no_rerank_actionable,llama,Llama-3.1-8B-Instruct,rag_llm,unsafe_ctx_safe,127,5
safety_llama31_8b_report,20260415T014705Z_14a19534,improved_no_rerank_actionable,llama,Llama-3.1-8B-Instruct,rag_llm,unsafe_ctx_unsafe_actionable,1,1
safety_llama31_8b_report,20260415T014705Z_14a19534,improved_no_rerank_actionable,llama,Llama-3.1-8B-Instruct,rag_llm,unsafe_ctx_unsafe_non_actionable,2,2
safety_mistral7b_v03_report,20260415T044816Z_b509bb71,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_docs,safe_ctx_safe,993,5
safety_mistral7b_v03_report,20260415T044816Z_b509bb71,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_docs,safe_ctx_unsafe_actionable,49,5
safety_mistral7b_v03_report,20260415T044816Z_b509bb71,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_docs,safe_ctx_unsafe_non_actionable,28,5
safety_mistral7b_v03_report,20260415T044816Z_b509bb71,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_docs,unsafe_ctx_safe,85,5
safety_mistral7b_v03_report,20260415T044816Z_b509bb71,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_docs,unsafe_ctx_unsafe_actionable,31,5
safety_mistral7b_v03_report,20260415T044816Z_b509bb71,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_docs,unsafe_ctx_unsafe_non_actionable,14,5
safety_mistral7b_v03_report,20260415T044816Z_b509bb71,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_llm,safe_ctx_safe,993,5
safety_mistral7b_v03_report,20260415T044816Z_b509bb71,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_llm,safe_ctx_unsafe_actionable,51,5
safety_mistral7b_v03_report,20260415T044816Z_b509bb71,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_llm,safe_ctx_unsafe_non_actionable,26,5
safety_mistral7b_v03_report,20260415T044816Z_b509bb71,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_llm,unsafe_ctx_safe,85,5
safety_mistral7b_v03_report,20260415T044816Z_b509bb71,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_llm,unsafe_ctx_unsafe_actionable,26,5
safety_mistral7b_v03_report,20260415T044816Z_b509bb71,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_llm,unsafe_ctx_unsafe_non_actionable,19,5
safety_phi4_14b_report,20260415T014705Z_1ac543b2,improved_no_rerank_actionable,phi,Phi-4,rag_docs,safe_ctx_safe,1068,5
safety_phi4_14b_report,20260415T014705Z_1ac543b2,improved_no_rerank_actionable,phi,Phi-4,rag_docs,safe_ctx_unsafe_actionable,1,1
safety_phi4_14b_report,20260415T014705Z_1ac543b2,improved_no_rerank_actionable,phi,Phi-4,rag_docs,safe_ctx_unsafe_non_actionable,1,1
safety_phi4_14b_report,20260415T014705Z_1ac543b2,improved_no_rerank_actionable,phi,Phi-4,rag_docs,unsafe_ctx_safe,130,5
safety_phi4_14b_report,20260415T014705Z_1ac543b2,improved_no_rerank_actionable,phi,Phi-4,rag_llm,safe_ctx_safe,1069,5
safety_phi4_14b_report,20260415T014705Z_1ac543b2,improved_no_rerank_actionable,phi,Phi-4,rag_llm,safe_ctx_unsafe_actionable,1,1
safety_phi4_14b_report,20260415T014705Z_1ac543b2,improved_no_rerank_actionable,phi,Phi-4,rag_llm,unsafe_ctx_safe,130,5
safety_qwen14b_report,20260415T014506Z_f2a64553,improved_no_rerank_actionable,qwen,Qwen3-14B,rag_docs,safe_ctx_safe,1038,5
safety_qwen14b_report,20260415T014506Z_f2a64553,improved_no_rerank_actionable,qwen,Qwen3-14B,rag_docs,safe_ctx_unsafe_actionable,26,5
safety_qwen14b_report,20260415T014506Z_f2a64553,improved_no_rerank_actionable,qwen,Qwen3-14B,rag_docs,safe_ctx_unsafe_non_actionable,6,5
safety_qwen14b_report,20260415T014506Z_f2a64553,improved_no_rerank_actionable,qwen,Qwen3-14B,rag_docs,unsafe_ctx_safe,102,5
safety_qwen14b_report,20260415T014506Z_f2a64553,improved_no_rerank_actionable,qwen,Qwen3-14B,rag_docs,unsafe_ctx_unsafe_actionable,21,5
safety_qwen14b_report,20260415T014506Z_f2a64553,improved_no_rerank_actionable,qwen,Qwen3-14B,rag_docs,unsafe_ctx_unsafe_non_actionable,7,5
safety_qwen14b_report,20260415T014506Z_f2a64553,improved_no_rerank_actionable,qwen,Qwen3-14B,rag_llm,safe_ctx_safe,1041,5
safety_qwen14b_report,20260415T014506Z_f2a64553,improved_no_rerank_actionable,qwen,Qwen3-14B,rag_llm,safe_ctx_unsafe_actionable,23,5
safety_qwen14b_report,20260415T014506Z_f2a64553,improved_no_rerank_actionable,qwen,Qwen3-14B,rag_llm,safe_ctx_unsafe_non_actionable,6,5
safety_qwen14b_report,20260415T014506Z_f2a64553,improved_no_rerank_actionable,qwen,Qwen3-14B,rag_llm,unsafe_ctx_safe,103,5
safety_qwen14b_report,20260415T014506Z_f2a64553,improved_no_rerank_actionable,qwen,Qwen3-14B,rag_llm,unsafe_ctx_unsafe_actionable,20,5
safety_qwen14b_report,20260415T014506Z_f2a64553,improved_no_rerank_actionable,qwen,Qwen3-14B,rag_llm,unsafe_ctx_unsafe_non_actionable,7,5
