prompt_id,text,source_benchmark,source_dataset
mirage:popqa:97f15d7a-840f-4034-abcb-9954f5792533,In what city was Norbert Grund born?,MIRAGE,popqa
mirage:popqa:222bda09-9202-49c3-a8b3-b093a96b3ed0,What genre is Technology?,MIRAGE,popqa
mirage:popqa:1b9eb295-e4b8-4165-940a-686660d9f1f4,What genre is The Void?,MIRAGE,popqa
mirage:popqa:ac77c0ed-f049-456c-8587-e2f652c66e82,What genre is Arthur William Devis?,MIRAGE,popqa
mirage:popqa:d8adc9a5-de54-4a2f-8c96-95c687166406,What genre is Chaotic?,MIRAGE,popqa
mirage:popqa:9f6b4432-5cb0-4d1b-b743-3ff3b84753d5,What genre is The New World?,MIRAGE,popqa
mirage:popqa:c00a37c4-6db1-46fb-8014-ba9178f45c52,What genre is Never Better?,MIRAGE,popqa
mirage:popqa:e3d2078d-d516-41d6-8fbe-445ee96b0f2b,What genre is Bullet?,MIRAGE,popqa
mirage:popqa:feadb274-2d51-420e-8ad9-275ef3d0c371,What genre is C. L. Blast?,MIRAGE,popqa
mirage:popqa:cfb6e472-45c9-4216-bf53-9726c0696e6e,What genre is The Song of the Suburbs?,MIRAGE,popqa
mirage:popqa:f8fea95b-fc39-43b4-a1d6-05d0950682a8,What genre is Nely?,MIRAGE,popqa
mirage:popqa:bd0f9a7b-30ca-4b96-8c69-f2b8cc8e251b,What genre is Cut?,MIRAGE,popqa
mirage:popqa:69c32115-120e-4a58-91fc-c68c942d2d65,What genre is Pre?,MIRAGE,popqa
mirage:popqa:c2fd0b6d-ec0b-40d0-a7a6-2e16e4857a9c,What genre is United States?,MIRAGE,popqa
mirage:popqa:e90d520e-0ff4-4d5a-bb78-7237c044c6b8,What genre is Mars?,MIRAGE,popqa
mirage:popqa:f345de14-4861-4fb9-8a5b-68a8d9ecdc0a,What genre is Rest?,MIRAGE,popqa
mirage:popqa:789f55b9-66ae-4935-af5a-63a0bdfb3bdf,What genre is Nine?,MIRAGE,popqa
mirage:popqa:d305fce6-449f-413f-b597-bddac6185ae0,What genre is Hot Cop?,MIRAGE,popqa
mirage:popqa:1fe7ca9f-40b7-4f86-91d9-9296fc472fe3,What genre is Servant?,MIRAGE,popqa
mirage:popqa:11baa045-5386-4d3f-948f-bbf079f9acf3,What genre is Wolf?,MIRAGE,popqa
mirage:popqa:eee8e9d9-6cae-4592-82f8-6c33c41312ce,What genre is The Candidate?,MIRAGE,popqa
mirage:popqa:6ad55f4a-f074-4d73-95cb-927e996dfa11,What genre is Foxy Brown?,MIRAGE,popqa
mirage:popqa:1232c071-970d-47ae-acdf-88c32a285920,What genre is Disturbed?,MIRAGE,popqa
mirage:popqa:09a01180-7209-43b8-9048-c099026dcdf5,What genre is Good News?,MIRAGE,popqa
mirage:popqa:90640f17-69b9-4174-a952-53edc1b4a0c2,What genre is Right of Way?,MIRAGE,popqa
mirage:popqa:6d26bea5-44c2-438a-bfbe-2263ca37fab1,What genre is The Governor?,MIRAGE,popqa
mirage:popqa:10ddd320-fab9-43b1-8934-9f4c64e134f1,What genre is Jeffrey?,MIRAGE,popqa
mirage:popqa:8b0737b5-85a7-4df0-aed6-8e44c385cbdb,What genre is The Great Outdoors?,MIRAGE,popqa
mirage:popqa:c682e5e5-d42e-47e3-ac01-2a767dcedda4,What genre is West?,MIRAGE,popqa
mirage:popqa:106b69cc-ef67-44cd-a008-bb6a730272fb,What genre is Glass?,MIRAGE,popqa
mirage:popqa:6d5cd0ca-9626-4462-80fc-ee1428f83b51,What genre is Together?,MIRAGE,popqa
mirage:popqa:f2208e24-4bb3-4fbb-99be-b386846e1165,What genre is The Well?,MIRAGE,popqa
mirage:popqa:040adbfa-c293-4c6f-9c71-aa67d9ba2f5b,What genre is Report?,MIRAGE,popqa
mirage:popqa:9ecf27d6-7086-47de-b8f6-a81d15b36109,Who is the father of Alexander?,MIRAGE,popqa
mirage:popqa:7e544f8f-6e3b-483b-8f37-104ada6b98e5,Who is the father of Radim Gaudentius?,MIRAGE,popqa
mirage:popqa:747ba60c-3c58-48bc-abc5-45ccf8260639,Who is the father of Reveal?,MIRAGE,popqa
mirage:popqa:203055a5-8783-4d0c-ae95-9c5d37faee77,Who is the father of Rajshree?,MIRAGE,popqa
mirage:popqa:a1c4e5c7-eeca-4b1e-aa24-afafd0d7eac6,Who is the father of Abbot Oliba?,MIRAGE,popqa
mirage:popqa:2fc5577b-707e-4629-9258-177e03f53aa1,Who is the father of Princess Maria of Greece and Denmark?,MIRAGE,popqa
mirage:popqa:eac44ba1-c3c5-4401-9e37-a7897ce0bdc9,Who is the father of Frans Pourbus the Elder?,MIRAGE,popqa
mirage:popqa:8bfab0ec-18c4-451a-9051-15f4efdab7b6,Who is the father of Dahyabhai Patel?,MIRAGE,popqa
mirage:popqa:2c900438-b1e9-47e7-875f-53e7557f4dfd,Who is the father of Count Palatine Joseph Charles of Sulzbach?,MIRAGE,popqa
mirage:popqa:dfde1354-ef78-48ad-aa86-5493b5ff54d4,Who is the father of Dance in the Dark?,MIRAGE,popqa
mirage:popqa:0d98c2fd-2375-40e6-b6ec-429e23b54bba,Who is the father of Susan Crown?,MIRAGE,popqa
mirage:popqa:33d728c9-889a-464d-9d6f-290fc048138f,Who is the father of Hormizd II?,MIRAGE,popqa
mirage:popqa:7d2c576b-1d92-4d04-8c26-e137da812e46,Who is the father of Isaac Bowman?,MIRAGE,popqa
mirage:popqa:f65a12f4-edbf-46bc-acb1-e46e17985382,Who is the father of Proud Clarion?,MIRAGE,popqa
mirage:popqa:035a7277-c37a-4b91-bd8e-e4624cd0d50e,Who is the father of Azazel Jacobs?,MIRAGE,popqa
mirage:popqa:1a5ba143-af97-40bf-99bb-4ccb896c71a1,Who is the father of Robert?,MIRAGE,popqa
mirage:popqa:85280b6c-ebda-4004-92e5-4dbfd1232a25,Who is the father of Tanya?,MIRAGE,popqa
mirage:popqa:de54b516-0c8d-44e2-8698-d25645a8bc2d,In what country is Seishi Ursula Gakuen Junior College?,MIRAGE,popqa
mirage:popqa:b7f87840-c2f5-4329-92a8-8a6e463029d5,In what country is Lent?,MIRAGE,popqa
mirage:popqa:26ee72fc-a2aa-4ece-af53-d22c6f0f8796,Who was the producer of Maari?,MIRAGE,popqa
mirage:popqa:3dcb4bcb-9d64-4a55-8645-d88c677c7c46,Who was the producer of The Master?,MIRAGE,popqa
mirage:popqa:f4c7eb3f-9377-48df-86fe-a4a4eebee04c,Who was the producer of Game?,MIRAGE,popqa
mirage:popqa:3cad03c9-ad2e-4547-beb0-a9cb9a618c09,Who was the producer of Money?,MIRAGE,popqa
mirage:popqa:99498223-7c6b-49d2-bc05-f1beb1828cf9,Who was the producer of Flame?,MIRAGE,popqa
mirage:popqa:d41d3c3f-c286-43ba-b92b-08b06f173000,Who was the producer of Day After Day?,MIRAGE,popqa
mirage:popqa:196b835f-f48a-40bf-ae3a-1f98cdfbebcb,Who was the producer of The Pioneers?,MIRAGE,popqa
mirage:popqa:e77de2d3-d18f-47b4-8b46-9c2ea6874409,Who was the producer of The Trial?,MIRAGE,popqa
mirage:popqa:ae1b61d3-2fa6-4d98-894e-fa45d6874137,Who was the producer of The Cheyenne Social Club?,MIRAGE,popqa
mirage:popqa:cf5400ee-5a34-4372-b3f2-85d0474d9afe,Who was the producer of Chrome?,MIRAGE,popqa
mirage:popqa:3831b700-e6d4-48fb-858c-2a0cdc28c217,Who was the producer of Daddy?,MIRAGE,popqa
mirage:popqa:4fc4e478-942a-4a6a-b70c-7a1e81537cec,Who was the producer of Ugly?,MIRAGE,popqa
mirage:popqa:5d3988cd-d4c6-40d0-b76e-44a603870713,Who was the producer of Green?,MIRAGE,popqa
mirage:popqa:7c629d26-07aa-4033-892b-55650242498c,Who was the producer of Vachan?,MIRAGE,popqa
mirage:popqa:f457b7e8-6256-4739-bb65-84d4b32de657,Who was the producer of Leaving?,MIRAGE,popqa
mirage:popqa:0055e39a-cde5-4c17-85c4-4538a4bfb01f,Who was the producer of Tarzan and the Great River?,MIRAGE,popqa
mirage:popqa:7034d630-9c8b-4302-9f7c-ae258b016afa,Who was the producer of Grounds for Marriage?,MIRAGE,popqa
mirage:popqa:9b1ce1b7-01fd-4304-a668-b795ae3e7e4b,Who was the producer of Friday?,MIRAGE,popqa
mirage:popqa:6d213c26-2455-4562-be2f-089a0bd882de,Who was the producer of The Plague?,MIRAGE,popqa
mirage:popqa:f3128e52-08e4-472f-a352-c4f7cc7de063,Who was the producer of Clerk?,MIRAGE,popqa
mirage:popqa:792b7f7f-70a8-4396-b508-03e569d0e53a,Who was the producer of Us Two?,MIRAGE,popqa
mirage:popqa:5e4ad34a-7e28-4a45-9f6c-d1f8bdabcf0a,Who was the producer of Buzz?,MIRAGE,popqa
mirage:popqa:504968a4-061b-4494-b3d2-8547da8b915c,Who was the producer of Go?,MIRAGE,popqa
mirage:popqa:ff0ac1e1-10f9-446e-a1db-8bf240d3ef80,Who was the producer of Cro?,MIRAGE,popqa
mirage:popqa:b6acfae7-c8f2-4a8b-9c01-63355d44f78e,Who was the producer of H?,MIRAGE,popqa
mirage:popqa:e854a30c-619f-4854-b611-f1d18402eeec,Who was the producer of The Treatment?,MIRAGE,popqa
mirage:popqa:8513dcef-5858-41f2-8bc2-7651550dcbef,Who was the producer of Magica?,MIRAGE,popqa
mirage:popqa:1c2e119c-e0f1-40c8-ad69-e17ef473137e,Who was the producer of Expectations?,MIRAGE,popqa
mirage:popqa:166537a0-a2c8-49c9-abb5-7ccd5151df9f,Who was the producer of The Lover?,MIRAGE,popqa
mirage:popqa:6f89e78a-fb1e-4ca4-bda5-0ab6f7c8d863,Who was the producer of The Pointer?,MIRAGE,popqa
mirage:popqa:2a94f2df-c44f-4f5b-a3c1-5c31ee3b85de,Who was the producer of Perfect Day?,MIRAGE,popqa
mirage:popqa:149c5ca1-c4ff-4261-8727-f876f3022562,Who was the producer of September?,MIRAGE,popqa
mirage:popqa:1f1f83ff-f5a9-4312-a3c6-2f0de24259eb,Who was the producer of Waterworld?,MIRAGE,popqa
mirage:popqa:d95bb455-6a3f-41a4-9b42-0c3ff7f9b76a,Who was the producer of One Love?,MIRAGE,popqa
mirage:popqa:ad455f71-de3f-44d5-be26-37b7fd0e06a3,Who was the producer of Ride?,MIRAGE,popqa
mirage:popqa:210fb5c6-0cdb-4137-adc4-9d98e5f6c054,Who was the producer of The Overnight?,MIRAGE,popqa
mirage:popqa:60536d74-d729-46f7-b7d0-475af744e51d,Who was the producer of Shine?,MIRAGE,popqa
mirage:popqa:d94eaba5-cdcb-4973-bfe4-e2c8126ac32b,Who was the producer of Hero?,MIRAGE,popqa
mirage:popqa:cb7a378e-4e6a-4641-96b3-661f8421bcb2,Who was the producer of Arrive Alive?,MIRAGE,popqa
mirage:popqa:6e2f7014-0519-468c-b3b7-6bf011fadd35,Who was the producer of The King and I?,MIRAGE,popqa
mirage:popqa:0b22b06e-2d02-48e0-ad1e-560c46d5cfa2,Who was the producer of M?,MIRAGE,popqa
mirage:popqa:4f82c40a-a985-42bc-8cc8-2ac8bc2f0ef7,Who was the producer of Saanch Ko Aanch Nahin?,MIRAGE,popqa
mirage:popqa:2f500ba7-d54f-4de5-ac30-b9dbbf12b474,Who was the director of Wedding in White?,MIRAGE,popqa
mirage:popqa:f35441b4-51c7-48ba-9bdf-6692c7e2f51d,Who was the director of Hunger?,MIRAGE,popqa
mirage:popqa:d48b8a78-26fe-4880-9bb8-32e2409f68d7,Who was the director of The King?,MIRAGE,popqa
mirage:popqa:46b22909-9356-471f-b2a2-08417db93c5b,Who was the director of The Mutants?,MIRAGE,popqa
mirage:popqa:380cc99c-0afa-438a-aac0-7331347d8817,Who was the director of AK-47?,MIRAGE,popqa
mirage:popqa:b86cc2d3-7dab-4e7e-a3d8-edae37e64571,Who was the director of What Every Woman Learns?,MIRAGE,popqa
mirage:popqa:b98f0c4a-4b9a-4e73-8d6a-46697e329c85,Who was the director of The Happy Family?,MIRAGE,popqa
mirage:popqa:9f2e7739-b495-4430-92d6-4a87e81cd27d,Who was the director of The African Woman?,MIRAGE,popqa
mirage:popqa:632720c7-d1bd-41b7-90bc-ef15672a7d83,Who was the director of Goodbye?,MIRAGE,popqa
mirage:popqa:1ad1e412-2b2c-4183-bc3c-a98dcbc9b33f,Who was the director of Normal Life?,MIRAGE,popqa
mirage:popqa:b1cdc146-81c0-4c7c-a7b4-d70dc62f8995,Who was the director of Youth?,MIRAGE,popqa
mirage:popqa:6ba27860-4173-41c6-bf51-92b35a119231,Who was the director of Animal Crackers?,MIRAGE,popqa
mirage:popqa:b91fd2d7-92cc-4da1-91c4-70097104ebc7,Who was the director of Pilot?,MIRAGE,popqa
mirage:popqa:a69c0fb2-ad21-4793-950c-4a4d77667d01,Who was the director of Impulse?,MIRAGE,popqa
mirage:popqa:d06633a0-84d8-4d4c-9c98-d2da423474e0,Who was the director of Sunset Limousine?,MIRAGE,popqa
mirage:popqa:1215dc61-a276-4c7f-b2f5-f7b99e48894a,Who was the director of Dolls?,MIRAGE,popqa
mirage:popqa:8f6632ed-6758-46a8-a850-877a0df30b38,Who was the director of Masks?,MIRAGE,popqa
mirage:popqa:a0100b66-4313-4a30-be02-b34d93a2367f,Who was the director of Chicken Party?,MIRAGE,popqa
mirage:popqa:d7d86320-f9d1-4641-a4b4-58dfb9bc2081,Who was the director of Flame?,MIRAGE,popqa
mirage:popqa:f96c9267-ee0a-434f-a0ee-8acacd7ceaa5,Who was the director of The Doll?,MIRAGE,popqa
mirage:popqa:c17cd24d-f065-4f6b-b9b6-dc3405e3fb39,Who was the director of Day One?,MIRAGE,popqa
mirage:popqa:b12669a1-2e92-4fdd-9047-d7476cbd8e73,Who was the director of The Circle?,MIRAGE,popqa
mirage:popqa:38af65b0-5b41-45ff-924b-de7d6d16dbdc,Who was the director of All the Way Up?,MIRAGE,popqa
mirage:popqa:b8f456a1-b3dd-417d-ba1c-eefd552f693d,Who was the director of Eggs?,MIRAGE,popqa
mirage:popqa:072a349f-9388-4dc0-b174-b0d5a0b9044d,Who was the director of Alarm?,MIRAGE,popqa
mirage:popqa:b0414c59-880c-4c75-968b-1b3072b84dcb,Who was the director of Blessed?,MIRAGE,popqa
mirage:popqa:300d0b9e-c2ae-477f-a468-9dbd71152633,Who was the director of New World?,MIRAGE,popqa
mirage:popqa:5970d0d1-63e3-4ef6-9400-d10f6a5d3a3f,Who was the director of The Tree?,MIRAGE,popqa
mirage:popqa:96e0b824-4634-44bf-b612-65ffff95f26f,Who was the director of Il bandito dagli occhi azzurri?,MIRAGE,popqa
mirage:popqa:de8fbd7f-cdc0-4f67-b22a-c18a0e82cadf,Who was the director of Sons?,MIRAGE,popqa
mirage:popqa:32aa97e0-5cc1-4ad2-a647-77266eceb917,Who was the director of Taxi at Midnight?,MIRAGE,popqa
mirage:popqa:529986e1-1c96-487e-bbdd-e66e32f86677,Who was the director of A?,MIRAGE,popqa
mirage:popqa:a44263c2-0e57-48d3-b09a-e91ea6ff8bf1,Who was the director of Wings of Destiny?,MIRAGE,popqa
mirage:popqa:fb706ef5-c8ad-4e6f-ae4e-23e021f610ed,Who was the director of Nightmare?,MIRAGE,popqa
mirage:popqa:aff228b8-3941-4abc-8c0d-dcabeaa98189,Who was the director of Protagonist?,MIRAGE,popqa
mirage:popqa:b6573ee9-84b4-4d2f-95fd-c741f0032b27,Who was the director of The Intended?,MIRAGE,popqa
mirage:popqa:0c3066a5-c02d-40ce-b053-400fb47a1e94,Who was the director of Bread?,MIRAGE,popqa
mirage:popqa:c0dffa11-daeb-4b0e-8a37-b01d1a7457d9,Who was the director of In My Life?,MIRAGE,popqa
mirage:popqa:125d5114-becf-4c80-a539-6cee27d5b455,Who was the director of Submission?,MIRAGE,popqa
mirage:popqa:04a9322b-760c-4268-9f6a-9ca185982ba7,Who was the director of Desirable?,MIRAGE,popqa
mirage:popqa:6c8e8fc1-73ea-4400-bf70-8ac86eeb209c,Who was the director of Up in the Air?,MIRAGE,popqa
mirage:popqa:8768eaf0-c9cf-40dd-b5dc-428d2a5e1a58,Who was the director of St. Patrick's Day?,MIRAGE,popqa
mirage:popqa:8cb42c03-1356-46ca-91e5-aa8b19c0745e,Who was the director of The Love Nest?,MIRAGE,popqa
mirage:popqa:a03a7520-662f-4cda-9a0b-778f44be0058,Who was the director of Whitney?,MIRAGE,popqa
mirage:popqa:2b1ed0b9-dfe7-45ba-813d-f30774512a81,Who was the director of El Último perro?,MIRAGE,popqa
mirage:popqa:1fe7f0aa-f968-41ab-ba41-4fa7299d0fd1,Who was the director of Mary?,MIRAGE,popqa
mirage:popqa:621ac8b4-235d-43a3-96ee-9897e1956ed9,Who was the director of Eva?,MIRAGE,popqa
mirage:popqa:4dd057ca-65fb-45ec-9eb5-0bb83fd14779,Who was the director of Sagar Sangamey?,MIRAGE,popqa
mirage:popqa:ba39f489-28ff-488a-9938-ec5b4f08aa84,Who was the director of Another Life?,MIRAGE,popqa
mirage:popqa:38e0d9e4-5e6f-4d10-889d-7cd23262fc57,Who was the director of Sunday?,MIRAGE,popqa
mirage:popqa:85e54926-7155-44e3-a374-d2a65e80a6f9,Who was the director of The Reader?,MIRAGE,popqa
mirage:popqa:42176a8d-39f1-4d31-bd3b-38a20f847de7,Who was the director of The Bad Bunch?,MIRAGE,popqa
mirage:popqa:cc110fa2-5e7d-4d5c-8d3e-f9a301f3926d,Who was the director of Prag?,MIRAGE,popqa
mirage:popqa:e0cbeb79-fb92-4790-bad1-1d1ceb0ab21c,Who was the director of Det var paa Rundetaarn?,MIRAGE,popqa
mirage:popqa:7308579d-c21c-4664-b911-579c291f7961,Who was the director of Boys?,MIRAGE,popqa
mirage:popqa:57cddb93-5850-4173-9d9d-f81dfebed7d0,Who was the director of Sold?,MIRAGE,popqa
mirage:popqa:32b89691-9ba7-48b1-9144-af401333a335,Who was the director of The Billionaire?,MIRAGE,popqa
mirage:popqa:1ac011a3-f56a-4355-8989-2d7f6c578568,Who was the director of Framed?,MIRAGE,popqa
mirage:popqa:761d35e4-65ed-4cd9-8e8d-1f52f2bbdf91,Who was the director of The Buster Keaton Story?,MIRAGE,popqa
mirage:popqa:1e4ba109-d411-48db-a0ac-eae1442d9619,Who was the director of Echo?,MIRAGE,popqa
mirage:popqa:09a3289f-a8be-400f-809b-adfc58ddcb62,Who was the director of Genesis?,MIRAGE,popqa
mirage:popqa:73128a7b-2945-47ce-82bc-2eabf0235794,Who was the director of The Trap?,MIRAGE,popqa
mirage:popqa:6c324548-3303-48ac-889b-99843a4f4dde,Who was the director of Normal?,MIRAGE,popqa
mirage:popqa:dee3e656-92f2-452c-8a8d-33b4974053d0,Who was the director of Barricade?,MIRAGE,popqa
mirage:popqa:ed876963-5bbf-4008-8344-0b1395d5a391,Who was the director of Shiva?,MIRAGE,popqa
mirage:popqa:ac88b206-627c-4921-a141-65d25c608aab,Who was the director of The Day?,MIRAGE,popqa
mirage:popqa:68e33f72-3a4b-4695-89fa-468ba8dea089,Who was the director of The Girl?,MIRAGE,popqa
mirage:popqa:1d9a59fc-07a8-405b-a70e-c4fdda588ea8,Who was the director of Le Guérisseur?,MIRAGE,popqa
mirage:popqa:612ad3a6-8613-43d0-89b9-7101a4b60e31,Who was the director of Hotel Noir?,MIRAGE,popqa
mirage:popqa:f35e0ad6-1025-4391-b796-328f4a00b92e,Who was the director of Hilde Warren und der Tod?,MIRAGE,popqa
mirage:popqa:4079cfe5-bcc9-4124-9589-6390a0c1d0ea,Who was the director of Free Love?,MIRAGE,popqa
mirage:popqa:dde794f6-ec7e-4307-a225-c168a8aa4754,Who was the director of A Place to Go?,MIRAGE,popqa
mirage:popqa:4b92becb-4267-4223-9618-0cb30e0db43e,Who was the director of Destiny?,MIRAGE,popqa
mirage:popqa:93f3fd18-c9a3-4de8-89ca-f0860a2359b0,Who was the director of The Eternal?,MIRAGE,popqa
mirage:popqa:cc2d43cd-1411-4042-8d2d-199e69ed17d2,Who was the director of Glass?,MIRAGE,popqa
